TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR.NAME.S.,SECT.MAX,SECT.ENRL,UG.SECT.ENRL,UP.SECT.ENRL,GR.SECT.ENRL,VS.SECT.ENRL,VU.SECT.ENRL,VG.SECT.ENRL,XLST.GROUP,XLST.MAX,XLST.ENRL,TTL.ENRL,TTL.SEATS.AVAIL,XLST.WITH,XLST.CRN,XLST.LEAD.DEPT,HAS_SYLLABUS,TERM_num
21_2,School of Humanities and Arts,English and Creative Writing,ENGL,100,1,13705,INTRODUCTION TO LITERATURE,LEC,3,"Johnson, Amanda L.",20,12,12,0,0,0,0,0,,,NA,12,8,,,,Y,1
21_2,School of Humanities and Arts,Environmental Studies,ENST,100,901,10706,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; MacDonnell, Kevin T.; Moore, Sophia L.",75,52,52,0,0,0,0,0,K1,75,58,58,17,ARCH 105 901,10707,Environmental Studies,Y,1
21_2,School of Humanities and Arts,Philosophy,PHIL,100,1,13263,INTRODUCTION TO PHILOSOPHY,LEC,3,"Saenz, Victor",40,38,38,0,0,0,0,0,,,NA,38,2,,,,Y,1
22_1,School of Humanities and Arts,Philosophy,PHIL,100,1,22602,INTRODUCTION TO PHILOSOPHY,LEC,3,"Kriegel, Uri Y.",40,36,36,0,0,0,0,0,,,NA,36,4,,,,Y,2
22_1,School of Humanities and Arts,Art,THEA,100,1,25286,STAGE CRAFT,LL,3,"Krouskop, Mark A.",10,8,8,0,0,0,0,0,,,NA,8,2,,,,Y,2
22_2,School of Humanities and Arts,English and Creative Writing,ENGL,100,1,12895,INTRODUCTION TO LITERATURE,LEC,3,"Johnson, Amanda L.",30,6,6,0,0,0,0,0,,,NA,6,24,,,,Y,3
22_2,School of Humanities and Arts,Environmental Studies,ENST,100,1,10631,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Kisner, Bryson R.",75,13,13,0,0,0,0,0,ZH,75,69,69,6,"ARCH 105 001, ENST 100 002, ARCH 105 002, ENST 100 003, ARCH 105 003, ENST 100 004, ARCH 105 004","10632, 15077, 15078, 15079, 15080, 15081, 15082",Environmental Studies,N,3
22_2,School of Humanities and Arts,Environmental Studies,ENST,100,2,15077,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Kisner, Bryson R.",75,15,15,0,0,0,0,0,ZH,75,69,69,6,"ENST 100 001, ARCH 105 001, ARCH 105 002, ENST 100 003, ARCH 105 003, ENST 100 004, ARCH 105 004","10631, 10632, 15078, 15079, 15080, 15081, 15082",Environmental Studies,N,3
22_2,School of Humanities and Arts,Environmental Studies,ENST,100,3,15079,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Kisner, Bryson R.",75,14,14,0,0,0,0,0,ZH,75,69,69,6,"ENST 100 001, ARCH 105 001, ENST 100 002, ARCH 105 002, ARCH 105 003, ENST 100 004, ARCH 105 004","10631, 10632, 15077, 15078, 15080, 15081, 15082",Environmental Studies,N,3
22_2,School of Humanities and Arts,Environmental Studies,ENST,100,4,15081,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Kisner, Bryson R.",75,16,16,0,0,0,0,0,ZH,75,69,69,6,"ENST 100 001, ARCH 105 001, ENST 100 002, ARCH 105 002, ENST 100 003, ARCH 105 003, ARCH 105 004","10631, 10632, 15077, 15078, 15079, 15080, 15082",Environmental Studies,N,3
