TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR NAME(S),SECT MAX,SECT ENRL,UG SECT ENRL,UP SECT ENRL,GR SECT ENRL,VS SECT ENRL,VU SECT ENRL,VG SECT ENRL,XLST GROUP,XLST MAX,XLST ENRL,TTL ENRL,TTL SEATS AVAIL,XLST WITH,XLST CRN,XLST LEAD DEPT,HAS_SYLLABUS
fall 2021,School of Natural Sciences,Physics and Astronomy,ASTR,101,1,12856,"STARS, GALAXIES & THE UNIVERSE",LEC,3,"Isella, Andrea",100,83,83,0,0,0,0,0,,,,83,17,,,,Y
fall 2021,School of Natural Sciences,Physics and Astronomy,ASTR,350,2,13486,INTRO ASTROPHYSICS-STARS,LEC,3,"Baring, Matthew G.",10,4,4,0,0,0,0,0,,,,4,6,,,,Y
fall 2021,School of Natural Sciences,Physics and Astronomy,ASTR,400,1,13591,UNDERGRADUATE RESEARCH SEMINAR,SEM,1,"Isella, Andrea",25,3,3,0,0,0,0,0,2S,25,10,10,15,ASTR 500 001,13592,Physics and Astronomy,Y
fall 2021,School of Natural Sciences,Physics and Astronomy,ASTR,451,1,10302,ASTROPHYSICS I: SUN AND STARS,LEC,3,"Johns-Krull, Christopher M.",25,5,2,0,3,0,0,0,,,,5,20,,,,Y
fall 2021,School of Natural Sciences,Physics and Astronomy,ASTR,470,1,10222,SOLAR SYSTEM PHYSICS,LEC,3,"Alexander, David",50,2,2,0,0,0,0,0,6J,50,11,11,39,ASTR 570 001,10837,Physics and Astronomy,Y
fall 2021,School of Natural Sciences,Biosciences,BIOS,118,1,14038,FIRST-YEAR SEMINAR (BCBG),SEM,1,"Villegas Kcam, Maria Claudia",8,8,8,0,0,0,0,0,,,,8,0,,,,Y
fall 2021,School of Natural Sciences,Biosciences,BIOS,118,3,14040,FIRST-YEAR SEMINAR (BCBG),SEM,1,"Camacho Aguilar, Elena",8,6,6,0,0,0,0,0,,,,6,2,,,,Y
fall 2021,School of Natural Sciences,Biosciences,BIOS,122,2,14816,BIOLOGY FOR VOTERS,LEC,3,"Caprette, David",42,42,42,0,0,0,0,0,,,,42,0,,,,N
fall 2021,School of Natural Sciences,Biosciences,BIOS,128,1,12871,BRAINSTEM,INT,1,"Lefeldt, Nele; Flynn, Jonathan R.",30,25,25,0,0,0,0,0,ZA,30,28,28,2,"BIOS 528 001, BIOS 128 002, BIOS 528 002","12872, 12873, 12874",Biosciences,N
fall 2021,School of Natural Sciences,Biosciences,BIOS,128,2,12873,BRAINSTEM,INT,1,"Flynn, Jonathan R.; Lefeldt, Nele",30,3,3,0,0,0,0,0,ZA,30,28,28,2,"BIOS 128 001, BIOS 528 001, BIOS 528 002","12871, 12872, 12874",Biosciences,N
