TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR NAME(S),SECT MAX,SECT ENRL,UG SECT ENRL,UP SECT ENRL,GR SECT ENRL,VS SECT ENRL,VU SECT ENRL,VG SECT ENRL,XLST GROUP,XLST MAX,XLST ENRL,TTL ENRL,TTL SEATS AVAIL,XLST WITH,XLST CRN,XLST LEAD DEPT,HAS_SYLLABUS
fall 2021,School of Social Sciences,Anthropology,ANTH,200,2,13763,INTRO TO STUDY OF LANGUAGE,LEC,3,"Niedzielski, Nancy A.",19,4,4,0,0,0,0,0,A6,19,16,16,3,LING 200 002,13762,Linguistics,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,200,3,13765,INTRO TO STUDY OF LANGUAGE,LEC,3,"Manker, Jonathan",180,34,34,0,0,0,0,0,B1,180,112,112,68,LING 200 003,13764,Linguistics,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,203,1,12779,INTRO BIOLOGICAL ANTHROPOLOGY,LEC,3,"Dominguez Rodrigo, Manuel",50,32,32,0,0,0,0,0,,,,32,18,,,,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,205,1,10804,INTRO TO ARCHAEOLOGY,LEC,3,"Fleisher, Jeffrey B.",49,41,41,0,0,0,0,0,,,,41,8,,,,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,315,1,14237,ZOOARCHAEOLOGY,LL,3,"Prendergast, Mary E.",18,8,8,0,0,0,0,0,1A,20,9,9,11,ANTH 515 001,14167,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,316,1,14633,BLACK DECOLONIAL FEMINISMS,SEM,3,"Estrella, Amarilys",15,8,8,0,0,0,0,0,4Q,30,9,9,21,ANTH 516 001,14626,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,321,1,14743,SOCIAL LIFE OF DNA,SEM,3,"Massie, Victoria M.",15,10,10,0,0,0,0,0,4X,15,11,11,4,ANTH 521 001,14652,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,324,901,10462,DOCUMENTARY PRODUCTION,STU,3,"Huberman, Brian M.",12,3,3,0,0,0,0,0,J1,12,14,14,-2,"FILM 327 901, ARTS 327 901","10391, 10392",*Visual and Dramatic Arts*,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,326,1,14740,"LAW, POWER AND CULTURE",SEM,3,"Moura Fietz, Helena",30,8,8,0,0,0,0,0,4V,30,11,11,19,ANTH 526 001,14742,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,340,1,14575,NEOLIBERALISM & GLOBALIZATION,LEC,3,"Boyer, Dominic C.",40,21,21,0,0,0,0,0,4P,40,22,22,18,ANTH 540 001,14580,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,344,1,12500,CITY/CULTURE,LEC,3,"Gunel, Gokce",15,10,10,0,0,0,0,0,2Y,15,15,15,0,ANTH 544 001,12501,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,354,1,14739,DISABILITY AND GENDERED BODIES,SEM,3,"Moura Fietz, Helena",30,13,13,0,0,0,0,0,36,30,22,22,8,"ANTH 554 001, SWGS 353 001, SWGS 554 001","14741, 14781, 14782",Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,355,1,13646,"SPACE, PLACE, LANDSCAPE",LEC,3,"Morgan, Molly",19,9,9,0,0,0,0,0,0C,19,10,10,9,ANTH 555 001,13647,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,394,1,12784,THE ARCHAEOLOGY OF SLAVERY,SEM,3,"Morgan, Molly",19,7,7,0,0,0,0,0,5Y,19,9,9,10,ANTH 594 001,13333,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,443,1,14246,RACE ETHNICITY AND HEALTH,SEM,3,"Mitchell, Beverly M.",15,14,14,0,0,0,0,0,2M,15,17,17,-2,ANTH 643 001,14247,Anthropology,Y
fall 2021,School of Social Sciences,Anthropology,ANTH,493,1,11939,SENIOR RESEARCH PREPARATION,SEM,1,"Gunel, Gokce",12,12,12,0,0,0,0,0,,,,12,0,,,,Y
fall 2021,School of Social Sciences,Cognitive Sciences,CSCI,102,1,14946,COGSCI STATISTICS LAB,LAB,0,"Irons, Sarah T.",45,1,1,0,0,0,0,0,,,,1,44,,,,N
fall 2021,School of Social Sciences,Cognitive Sciences,CSCI,340,1,13578,METHODS OF COGNITIVE SCIENCE,LEC,3,"Moore, Bartlett D.",16,15,15,0,0,0,0,0,,,,15,1,,,,Y
